Response ID,Date started,Date last action," [Yes, I have read the privacy policy and agree./ Ja, ich habe die Datenschutzerklärung gelesen und stimme zu.]",What is your current position?,What is your current position? [Other],What is your primary area of study?,What is your primary area of study? [Other],Do you think there is a reproducibility crisis in your field of research?,Do you think there is a reproducibility crisis in your field of research? [Other],"In your experience, what are the factors leading to poor reproducibility? [Lack of sufficient metadata regarding the experiment (e.g. culturing conditions, environmental conditions, software version)]","In your experience, what are the factors leading to poor reproducibility? [Lack of data that is publicly available for use (e.g. code, methods, results)]","In your experience, what are the factors leading to poor reproducibility? [Lack of complete information in the Methods/Standard Operating Procedures/Protocols]","In your experience, what are the factors leading to poor reproducibility? [Poor experimental design]","In your experience, what are the factors leading to poor reproducibility? [Lack of resources like equipments/devices in your workplace]","In your experience, what are the factors leading to poor reproducibility? [Lack of the information related to the settings used in original experiment (eg. Experiment Setup, Instrument Settings)]","In your experience, what are the factors leading to poor reproducibility? [Difficulty in understanding laboratory notebook records]","In your experience, what are the factors leading to poor reproducibility? [Pressure to publish]","In your experience, what are the factors leading to poor reproducibility? [Lack of knowledge or training on reproducible research practices]","In your experience, what are the factors leading to poor reproducibility? [Lack of time to follow reproducible research practices]","In your experience, what are the factors leading to poor reproducibility? [Data privacy (e.g. Data sharing with third parties)]","In your experience, what are the factors leading to poor reproducibility? [Other]",How easy would it be for you to find all the experimental data related to your own project in order to reproduce the results at a later point in time (e.g. 6 months after the original experiment)? [Input Data],How easy would it be for you to find all the experimental data related to your own project in order to reproduce the results at a later point in time (e.g. 6 months after the original experiment)? [Metadata about the methods],How easy would it be for you to find all the experimental data related to your own project in order to reproduce the results at a later point in time (e.g. 6 months after the original experiment)? [Metadata about the steps],How easy would it be for you to find all the experimental data related to your own project in order to reproduce the results at a later point in time (e.g. 6 months after the original experiment)? [Metadata about the experimental setup],How easy would it be for you to find all the experimental data related to your own project in order to reproduce the results at a later point in time (e.g. 6 months after the original experiment)? [Results],How easy would it be for a newcomer in your workplace to find all the experimental data related to your project/experiment without any/limited instructions from you? [Input Data],How easy would it be for a newcomer in your workplace to find all the experimental data related to your project/experiment without any/limited instructions from you? [Metadata about the methods],How easy would it be for a newcomer in your workplace to find all the experimental data related to your project/experiment without any/limited instructions from you? [Metadata about the steps],How easy would it be for a newcomer in your workplace to find all the experimental data related to your project/experiment without any/limited instructions from you? [Metadata about the experimental setup],How easy would it be for a newcomer in your workplace to find all the experimental data related to your project/experiment without any/limited instructions from you? [Results],Have you ever been unable to reproduce published results of others?,Has anybody contacted you that they have a problem in reproducing your published results?,Do you repeat your experiments to verify the results?,What is your opinion on sharing experimental data? [Raw Data],What is your opinion on sharing experimental data? [Processed Data],What is your opinion on sharing experimental data? [Negative Results],What is your opinion on sharing experimental data? [Measurements],What is your opinion on sharing experimental data? [Scripts/Code/Program],What is your opinion on sharing experimental data? [Image Annotations],What is your opinion on sharing experimental data? [Text Annotations],What is your opinion on sharing metadata regarding experimental requirements? [Experiment Materials],What is your opinion on sharing metadata regarding experimental requirements? [Instruments/Devices Used],What is your opinion on sharing metadata regarding settings? [Instrument Settings],What is your opinion on sharing metadata regarding settings? [Experiment Environment Conditions],What is your opinion on sharing metadata regarding settings? [Publications used],"What is your opinion on knowing the names and contacts of people/organizations who are involved directly (eg. Experimenter, Supervisor) or indirectly  (eg. Manufacturer, Distributor) in your experiment and their roles? [Names of people who are directly involved]","What is your opinion on knowing the names and contacts of people/organizations who are involved directly (eg. Experimenter, Supervisor) or indirectly  (eg. Manufacturer, Distributor) in your experiment and their roles? [Contacts of people who are directly involved]","What is your opinion on knowing the names and contacts of people/organizations who are involved directly (eg. Experimenter, Supervisor) or indirectly  (eg. Manufacturer, Distributor) in your experiment and their roles? [Roles of people who are directly involved]","What is your opinion on knowing the names and contacts of people/organizations who are involved directly (eg. Experimenter, Supervisor) or indirectly  (eg. Manufacturer, Distributor) in your experiment and their roles? [Names of people who are indirectly involved]","What is your opinion on knowing the names and contacts of people/organizations who are involved directly (eg. Experimenter, Supervisor) or indirectly  (eg. Manufacturer, Distributor) in your experiment and their roles? [Contacts of people who are indirectly involved]","What is your opinion on knowing the names and contacts of people/organizations who are involved directly (eg. Experimenter, Supervisor) or indirectly  (eg. Manufacturer, Distributor) in your experiment and their roles? [Roles of people who are indirectly involved]","What is your opinion on sharing metadata regarding time, duration, and the location of experiments? [Date]","What is your opinion on sharing metadata regarding time, duration, and the location of experiments? [Time]","What is your opinion on sharing metadata regarding time, duration, and the location of experiments? [Duration]","What is your opinion on sharing metadata regarding time, duration, and the location of experiments? [Location]",What is your opinion on sharing metadata regarding software used? [Software Parameters],What is your opinion on sharing metadata regarding software used? [Software Version],What is your opinion on sharing metadata regarding software used? [Software License],What is your opinion on sharing metadata regarding software used? [Scripts/Code/Program],What is your opinion on sharing metadata regarding all the steps and plans? [Laboratory Protocols],What is your opinion on sharing metadata regarding all the steps and plans? [Methods],What is your opinion on sharing metadata regarding all the steps and plans? [Activities/Steps],What is your opinion on sharing metadata regarding all the steps and plans? [Order of Activities/Steps],What is your opinion on sharing metadata regarding all the steps and plans? [Validation Methods],What is your opinion on sharing metadata regarding all the steps and plans? [Quality Control Methods],What is your opinion on sharing the intermediate and final results of each trial of your experiments? [Final Results],What is your opinion on sharing the intermediate and final results of each trial of your experiments? [Intermediate Results],Please let us know what else should be shared when publishing experimental results.,What kind of data do you work primarily with? [Images],"What kind of data do you work primarily with? [Multimedia files (Video, Audio)]",What kind of data do you work primarily with? [Measurements],What kind of data do you work primarily with? [Graphs],What kind of data do you work primarily with? [Tabular],What kind of data do you work primarily with? [Other],Where do you store your experimental data files? [Personal Devices (eg. Computer)],Where do you store your experimental data files? [Local Server provided at your workplace],"Where do you store your experimental data files? [Removable Storage Device (eg. USB, Harddisk, CD Drive)]","Where do you store your experimental data files? [Version Controlled Repositories (eg. Github, GitLab, Figshare, Zenodo etc.)]",Where do you store your experimental data files? [Data Management Platforms],Where do you store your experimental data files? [Other],"Where do you save your experimental metadata like descriptions of experiment, methods, samples used? [Hand written Lab Notebooks]","Where do you save your experimental metadata like descriptions of experiment, methods, samples used? [Electronic Notebooks]","Where do you save your experimental metadata like descriptions of experiment, methods, samples used? [Data Management Platforms]","Where do you save your experimental metadata like descriptions of experiment, methods, samples used? [Other]",Do you write scripts or program to perform data analysis at any stage in your experimental workflow?,"Have you heard about the FAIR (Findable, Accessible, Interoperable, Reusable) principles?","Does your research follow the FAIR (Findable, Accessible, Interoperable, Reusable) principles? [Findable]","Does your research follow the FAIR (Findable, Accessible, Interoperable, Reusable) principles? [Accessible]","Does your research follow the FAIR (Findable, Accessible, Interoperable, Reusable) principles? [Interoperable]","Does your research follow the FAIR (Findable, Accessible, Interoperable, Reusable) principles? [Reusable]",Please feel free to provide comments regarding what you think is important to enable understandability and reproducibility of scientific experiments in your field of research.,Total time
2,2019-01-24 08:37:24,2019-01-24 08:40:56,Yes,PhD Student,,Computer Science,,Yes,,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,,Easy,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Very Easy,Easy,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Easy,Yes,No,Yes,Average Importance,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not Important At All,Not Important At All,Not Important At All,Very Important,Very Important,Very Important,Little Importance,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Average Importance,Average Importance,Absolutely Essential,Very Important,,No,No,Yes,No,Yes,,Yes,No,No,Yes,No,,,Secondary Source,Primary Source,Primary Source,Yes,Yes,Often,Often,Sometimes,Often,,215.17
3,2019-01-24 10:10:30,2019-01-24 10:16:33,Yes,PhD Student,,Computer Science,,Yes,,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,,Very Easy,Easy,Easy,Easy,Very Easy,Very Easy,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Very Easy,Never tried to reproduce others published results,No,Yes,Absolutely Essential,Absolutely Essential,Average Importance,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Average Importance,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,,No,No,No,No,No,"code, scripts, metadata",Yes,Yes,No,Yes,No,,,,Secondary Source,,Yes,Yes,Often,Often,Sometimes,Sometimes,,365.51
4,2019-01-24 10:20:13,2019-01-24 10:33:42,Yes,PostDoc,,Biology(other),,No,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Easy,Easy,Neither Easy nor difficult,Neither Easy nor difficult,Very Easy,Very difficult,Neither Easy nor difficult,Very difficult,Neither Easy nor difficult,Easy,Never tried to reproduce others published results,No,Sometimes,Absolutely Essential,Little Importance,Very Important,Very Important,Not applicable,Not applicable,Not applicable,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Very Important,Very Important,Average Importance,Little Importance,Average Importance,Average Importance,Little Importance,Little Importance,Average Importance,Very Important,Very Important,Not Important At All,Not applicable,Very Important,Absolutely Essential,Very Important,Very Important,Very Important,Average Importance,Absolutely Essential,Little Importance,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,,Primary Source,Secondary Source,,,No,Yes,Often,Rarely,Sometimes,Sometimes,,811.73
6,2019-01-24 18:34:03,2019-01-24 18:40:46,Yes,Professor,,Computer Science,,Other,partly,No,Yes,No,No,Yes,No,No,No,No,No,No,,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Difficult,Difficult,Difficult,Difficult,Difficult,Yes,No,Sometimes,Not applicable,Not applicable,Average Importance,Average Importance,Average Importance,Not applicable,Not applicable,Not applicable,Not applicable,Average Importance,Not applicable,Not applicable,Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Very Important,Very Important,Little Importance,Very Important,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Average Importance,Average Importance,,No,No,No,No,No,"csv, strucutured data",No,No,No,Yes,No,,Other,Other,Other,Other,Yes,No,,,,,,405.3
7,2019-01-24 18:43:32,2019-01-24 18:56:51,Yes,Professor,,Computer Science,,Yes,,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,,Neither Easy nor difficult,Difficult,Very difficult,Neither Easy nor difficult,Difficult,Difficult,Very difficult,Very difficult,Neither Easy nor difficult,Difficult,Yes,No,Yes,Not applicable,Average Importance,Average Importance,Little Importance,Very Important,Not applicable,Absolutely Essential,Absolutely Essential,Very Important,Not applicable,Not applicable,Not applicable,Average Importance,Average Importance,Average Importance,Not applicable,Not applicable,Not applicable,Very Important,Very Important,Very Important,Little Importance,Very Important,Average Importance,Little Importance,Very Important,Not applicable,Absolutely Essential,Very Important,Very Important,Very Important,Average Importance,Average Importance,,,No,No,No,No,No,code,No,Yes,No,Yes,No,,,Primary Source,,,Yes,Yes,Rarely,Sometimes,Rarely,Rarely,,802.05
8,2019-01-24 19:06:57,2019-01-24 19:15:49,Yes,Professor,,Other,geosciences,No,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Very Easy,Easy,Easy,Very Easy,Easy,Easy,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Easy,No,No,Yes,Absolutely Essential,Average Importance,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Average Importance,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Average Importance,Average Importance,Little Importance,Not Important At All,Not Important At All,Not Important At All,Little Importance,Absolutely Essential,Absolutely Essential,Little Importance,Very Important,Very Important,Average Importance,Very Important,Average Importance,Absolutely Essential,Average Importance,Average Importance,Very Important,Very Important,Very Important,Very Important,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,,Primary Source,Primary Source,Primary Source,,Yes,Yes,Often,Often,Often,Often,,534.83
9,2019-01-24 22:21:08,2019-01-24 22:29:40,Yes,PostDoc,,Neuroscience,,Yes,,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,,Easy,Easy,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Neither Easy nor difficult,Difficult,Difficult,Neither Easy nor difficult,Yes,No,Sometimes,Average Importance,Average Importance,Average Importance,Very Important,Very Important,Very Important,Very Important,Average Importance,Very Important,Very Important,Average Importance,Absolutely Essential,Average Importance,Very Important,Average Importance,Average Importance,Little Importance,Little Importance,Not applicable,Not applicable,Very Important,Not applicable,Absolutely Essential,Absolutely Essential,Average Importance,Very Important,Very Important,Very Important,Average Importance,Average Importance,Very Important,Average Importance,Average Importance,Average Importance,,Yes,No,Yes,No,No,,No,Yes,No,No,No,,Other,Other,Other,Primary Source,Yes,No,Often,Always,Often,Often,,515.25
10,2019-01-24 23:03:36,2019-01-24 23:04:23,Yes,Professor,,Computer Science,,No,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,49.02
13,2019-01-25 07:19:05,2019-01-25 07:49:39,Yes,Professor,,Other,Chemical and molecular Ecology,Other,"not a crisis, but there should be more attention given to it",No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,Neither Easy nor difficult,Easy,Easy,Easy,Easy,Neither Easy nor difficult,Easy,Easy,Easy,Neither Easy nor difficult,Yes,No,Yes,Not applicable,Very Important,Very Important,Very Important,Very Important,Not applicable,Not applicable,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Average Importance,Average Importance,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Average Importance,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Average Importance,,No,No,Yes,No,No,,No,Yes,Yes,No,No,public databases like Metabolights,Primary Source,,Secondary Source,,Sometimes,Yes,Often,Often,Always,Often,"The bottleneck for experimental scientists is that FAIR data sharing comes on top of everything else they have to do to generate and analyse the data. They are usually not experts in data handling/storage. The platforms we share our data on are often made by IT experts that do not realize that 'their language' and expertise is not immediately clear to biologists. It thus costs a lot of extra time and energy for experimental biologists to share their data. Moreover, there is still a feeling among my lab scientists that it is unfair that they are forced to share data, but that the one taking the data and doing synthesis projects (yielding high IF papers) never have to go in the lab and do the hard work of getting the data. We discussed this very often. Getting credits for sharing data does not sufficiently resolve this issue for them.",1836.96
16,2019-01-25 09:32:27,2019-01-25 09:33:00,Yes,Professor,,Environmental Sciences,,No,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,35.24
